"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/2024题单/双指针/P1102 A-B 数对.cpp", "C++", 0, -33, -1, -9, -43
"/home/everlast1ng/code/2024题单/双指针/P1147 连续自然数和.cpp", "C++", 0, -39, -2, -8, -49
"/home/everlast1ng/code/2024题单/双指针/P1638 逛画展.cpp", "C++", 0, -50, -1, -11, -62
"/home/everlast1ng/code/2024题单/双指针/P5745 区间最大和.cpp", "C++", 0, -40, -1, -11, -52
"/home/everlast1ng/code/2024题单/双指针/P7714 「EZEC-10」排列排序.cpp", "C++", 0, -42, 0, -9, -51
"/home/everlast1ng/code/2024题单/双指针/P9950 [USACO20FEB] Mad Scientist B.cpp", "C++", 0, -34, -1, -9, -44
"/home/everlast1ng/code/CF/1000/B. Deck of Cards.cpp", "C++", 0, -66, 0, -15, -81
"/home/everlast1ng/code/CF/1000/B. Discounts.cpp", "C++", 0, -49, 0, -8, -57
"/home/everlast1ng/code/CF/1000/B. Maximum Cost Permutation.cpp", "C++", 0, -61, -2, -11, -74
"/home/everlast1ng/code/CF/1000/C. Need More Arrays.cpp", "C++", 0, -38, 0, -6, -44
"/home/everlast1ng/code/CF/1000/D. Destruction of the Dandelion Fields.cpp", "C++", 0, -67, 0, -13, -80
"/home/everlast1ng/code/CF/1100/B. Abraham's Great Escape.cpp", "C++", 0, -74, -1, -12, -87
"/home/everlast1ng/code/CF/1100/C. I Will Definitely Make It.cpp", "C++", 0, -55, -5, -11, -71
"/home/everlast1ng/code/CF/1100/D. Tung Tung Sahur.cpp", "C++", 0, -47, 0, -8, -55
"/home/everlast1ng/code/CF/1100/Substrings Sort.cpp", "C++", 0, -42, -1, -8, -51
"/home/everlast1ng/code/CF/1200/C. K-th Not Divisible by n.cpp", "C++", 0, -29, 0, -6, -35
"/home/everlast1ng/code/CF/1200/C. Poisoned Dagger.cpp", "C++", 0, -53, 0, -13, -66
"/home/everlast1ng/code/CF/1200/C. Those Who Are With Us.cpp", "C++", 0, -79, 0, -14, -93
"/home/everlast1ng/code/CF/1200/D. A and B.cpp", "C++", 0, -74, 0, -10, -84
"/home/everlast1ng/code/CF/1300/B. Catching the Krug.cpp", "C++", 0, -38, 0, -6, -44
"/home/everlast1ng/code/CF/1300/B. Incremental Path.cpp", "C++", 0, -32, 0, -5, -37
"/home/everlast1ng/code/CF/1300/C. Cinema.cpp", "C++", 0, -51, -1, -10, -62
"/home/everlast1ng/code/CF/1400/B. Obsession with Robots.cpp", "C++", 0, -47, -1, -7, -55
"/home/everlast1ng/code/CF/1500/B. Burning Midnight Oil.cpp", "C++", 0, -57, -2, -12, -71
"/home/everlast1ng/code/CF/1500/C. Two TVs.cpp", "C++", 0, -51, -1, -11, -63
"/home/everlast1ng/code/CF/800/A. Add or XOR.cpp", "C++", 0, -51, 0, -8, -59
"/home/everlast1ng/code/CF/800/A. All Lengths Subtraction.cpp", "C++", 0, -36, 0, -5, -41
"/home/everlast1ng/code/CF/800/A. Be Positive.cpp", "C++", 0, -25, 0, -3, -28
"/home/everlast1ng/code/CF/800/A. Blackboard Game.cpp", "C++", 0, -31, 0, -7, -38
