"filename", "language", "C++", "C", "PHP", "Markdown", "JSON", "comment", "blank", "total"
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/details.md", "Markdown", 0, 0, 0, 981, 0, 0, 6, 987
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.md", "Markdown", 0, 0, 0, 149, 0, 0, 7, 156
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/details.md", "Markdown", 0, 0, 0, 1205, 0, 0, 6, 1211
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff-details.md", "Markdown", 0, 0, 0, 2177, 0, 0, 6, 2183
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff.md", "Markdown", 0, 0, 0, 349, 0, 0, 7, 356
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.md", "Markdown", 0, 0, 0, 211, 0, 0, 7, 218
"/home/everlasting/acm_training/CF/1500/A. Boredom.cpp", "C++", 45, 0, 0, 0, 0, 1, 6, 52
"/home/everlasting/acm_training/CF/Hello 2026/A.cpp", "C++", 36, 0, 0, 0, 0, 0, 6, 42
"/home/everlasting/acm_training/CF/Hello 2026/B.cpp", "C++", 50, 0, 0, 0, 0, 0, 8, 58
"/home/everlasting/acm_training/CF/Hello 2026/C.cpp", "C++", 37, 0, 0, 0, 0, 0, 8, 45
"/home/everlasting/acm_training/CF/Hello 2026/D.cpp", "C++", 54, 0, 0, 0, 0, 0, 11, 65
"/home/everlasting/acm_training/CF/Round 1018/A.cpp", "C++", 42, 0, 0, 0, 0, 0, 6, 48
"/home/everlasting/acm_training/CF/Round 1018/B.cpp", "C++", 43, 0, 0, 0, 0, 0, 9, 52
"/home/everlasting/acm_training/CF/Round 1039/B.cpp", "C++", 23, 0, 0, 0, 0, 0, 4, 27
"/home/everlasting/acm_training/CF/Round 1040/B.cpp", "C++", 43, 0, 0, 0, 0, 0, 3, 46
"/home/everlasting/acm_training/CF/Round 1040/C.cpp", "C++", 46, 0, 0, 0, 0, 0, 6, 52
"/home/everlasting/acm_training/CF/Round 1042/C.cpp", "C++", 36, 0, 0, 0, 0, 0, 4, 40
"/home/everlasting/acm_training/CF/Round 1042/D.cpp", "C++", 45, 0, 0, 0, 0, 0, 5, 50
"/home/everlasting/acm_training/CF/Round 1042/E.cpp", "C++", 40, 0, 0, 0, 0, 0, 4, 44
"/home/everlasting/acm_training/CF/Round 1072/A.cpp", "C++", 36, 0, 0, 0, 0, 0, 4, 40
"/home/everlasting/acm_training/CF/Round 1072/B.cpp", "C++", 43, 0, 0, 0, 0, 0, 3, 46
"/home/everlasting/acm_training/CF/Round 1072/C.cpp", "C++", 73, 0, 0, 0, 0, 0, 8, 81
"/home/everlasting/acm_training/CF/Round 1072/D.cpp", "C++", 42, 0, 0, 0, 0, 0, 6, 48
"/home/everlasting/acm_training/CF/Round 1072/E.cpp", "C++", 53, 0, 0, 0, 0, 0, 8, 61
"/home/everlasting/acm_training/CF/Round 1073/A.cpp", "C++", 61, 0, 0, 0, 0, 0, 4, 65
