"filename", "language", "C++", "C", "PHP", "Markdown", "JSON", "comment", "blank", "total"
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/details.md", "Markdown", 0, 0, 0, 981, 0, 0, 6, 987
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.md", "Markdown", 0, 0, 0, 149, 0, 0, 7, 156
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/details.md", "Markdown", 0, 0, 0, 1205, 0, 0, 6, 1211
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff-details.md", "Markdown", 0, 0, 0, 2177, 0, 0, 6, 2183
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff.md", "Markdown", 0, 0, 0, 349, 0, 0, 7, 356
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.md", "Markdown", 0, 0, 0, 211, 0, 0, 7, 218
"/home/everlasting/acm_training/2024题单/双指针/P1102 A-B 数对.cpp", "C++", 33, 0, 0, 0, 0, 1, 9, 43
"/home/everlasting/acm_training/2024题单/双指针/P1147 连续自然数和.cpp", "C++", 39, 0, 0, 0, 0, 2, 8, 49
"/home/everlasting/acm_training/2024题单/双指针/P1638 逛画展.cpp", "C++", 50, 0, 0, 0, 0, 1, 11, 62
"/home/everlasting/acm_training/2024题单/双指针/P5745 区间最大和.cpp", "C++", 40, 0, 0, 0, 0, 1, 11, 52
"/home/everlasting/acm_training/2024题单/双指针/P7714 「EZEC-10」排列排序.cpp", "C++", 42, 0, 0, 0, 0, 0, 9, 51
"/home/everlasting/acm_training/2024题单/双指针/P9950 [USACO20FEB] Mad Scientist B.cpp", "C++", 34, 0, 0, 0, 0, 1, 9, 44
"/home/everlasting/acm_training/CF/1000/B. Circle Game.cpp", "C++", 47, 0, 0, 0, 0, 0, 8, 55
"/home/everlasting/acm_training/CF/1000/B. Deck of Cards.cpp", "C++", 66, 0, 0, 0, 0, 0, 15, 81
"/home/everlasting/acm_training/CF/1000/B. Discounts.cpp", "C++", 49, 0, 0, 0, 0, 0, 8, 57
"/home/everlasting/acm_training/CF/1000/B. Maximum Cost Permutation.cpp", "C++", 61, 0, 0, 0, 0, 2, 11, 74
"/home/everlasting/acm_training/CF/1000/C. Need More Arrays.cpp", "C++", 38, 0, 0, 0, 0, 0, 6, 44
"/home/everlasting/acm_training/CF/1000/D. Destruction of the Dandelion Fields.cpp", "C++", 67, 0, 0, 0, 0, 0, 13, 80
"/home/everlasting/acm_training/CF/1100/B. Abraham's Great Escape.cpp", "C++", 74, 0, 0, 0, 0, 1, 12, 87
"/home/everlasting/acm_training/CF/1100/C. I Will Definitely Make It.cpp", "C++", 55, 0, 0, 0, 0, 5, 11, 71
"/home/everlasting/acm_training/CF/1100/D. Tung Tung Sahur.cpp", "C++", 57, 0, 0, 0, 0, 0, 8, 65
"/home/everlasting/acm_training/CF/1100/Substrings Sort.cpp", "C++", 42, 0, 0, 0, 0, 1, 8, 51
